ABASTO, Angel Leonidas,Justicialista,Buenos Aires,AFIRMATIVO
ALARCIA, Martha Carmen,Justicialista,Córdoba,AFIRMATIVO
ALARCON, María del Carmen,Justicialista,Santa Fe,AFIRMATIVO
ALESANDRI, Carlos Tomas,Justicialista,Córdoba,AFIRMATIVO
ARNALDI, Monica Susana,Justicialista,Buenos Aires,AFIRMATIVO
ATANASOF, Alfredo Nestor,Justicialista,Buenos Aires,AFIRMATIVO
AYALA, Juan Carlos,Justicialista,Chaco,AFIRMATIVO
BALADRON, Manuel Justo,Justicialista,La Pampa,AFIRMATIVO
BECERRA, Omar Enrique,Justicialista,Tierra del Fuego,AFIRMATIVO
BEVACQUA, Adriana Norma,Justicialista,Entre Ríos,AFIRMATIVO
BORDENAVE, Marcela Antonia,FREPASO,Buenos Aires,AFIRMATIVO
BRAVO, Alfredo Pedro,A.R.I,Cap. Federal,AFIRMATIVO
BRITOS, Oraldo Norvel,Justicialista,San Luis,AFIRMATIVO
BUCCO, Jorge Luis,Justicialista,Córdoba,AFIRMATIVO
BUSSI, Ricardo Argentino,Fuerza Republicana,Tucumán,AFIRMATIVO
BUSTI, Jorge Pedro,Justicialista,Entre Ríos,AFIRMATIVO
CABALLERO MARTIN, Carlos Aurelio,Demócrata Progresista,Santa Fe,AFIRMATIVO
CAFIERO, Mario Alejandro,Justicialista,Buenos Aires,AFIRMATIVO
CAMAÑO, Eduardo Oscar,Justicialista,Buenos Aires,AFIRMATIVO
CAMAÑO, Graciela,Justicialista,Buenos Aires,AFIRMATIVO
CANTERO, Fernando Alfredo,A.R.I,Cap. Federal,AFIRMATIVO
CARDESA, Enrique Gustavo,Frente para el Cambio,Buenos Aires,AFIRMATIVO
CARRIO, Elisa María Avelina,A.R.I,Chaco,AFIRMATIVO
CASTRO, Alicia Amalia,Frente para el Cambio,Buenos Aires,AFIRMATIVO
CAVALLERO, Hector José,Justicialista,Santa Fe,AFIRMATIVO
CAVIGLIA, Franco Agustin,Acción por la República,Buenos Aires,AFIRMATIVO
CHIACCHIO, Nora Alicia,Justicialista,Buenos Aires,AFIRMATIVO
CORCHUELO BLASCO, José Manuel,Justicialista,Chubut,AFIRMATIVO
CORFIELD, Guillermo Eduardo,Union Cívica Radical,Entre Ríos,AFIRMATIVO
CORREA, Elsa Haydee,Justicialista,Mendoza,AFIRMATIVO
DAHER, Zulema Beatríz,Justicialista,Salta,AFIRMATIVO
das NEVES, Mario,Justicialista,Chubut,AFIRMATIVO
DE SANCTIS, Guillermo Horacio,Justicialista,San Juan,AFIRMATIVO
DI COLA, Eduardo Román,Justicialista,Córdoba,AFIRMATIVO
DIAZ BANCALARI, José María,Justicialista,Buenos Aires,AFIRMATIVO
DRISALDI, María Rita,Justicialista,Santa Cruz,AFIRMATIVO
D`ERRICO, María Rita Antonia,Justicialista,Buenos Aires,AFIRMATIVO
ESCOBAR, Jorge Alberto,Justicialista,San Juan,AFIRMATIVO
ESPINOLA, Barbara Ines,FREPASO,Buenos Aires,AFIRMATIVO
FALBO, María del Carmen,Justicialista,Buenos Aires,AFIRMATIVO
FERNANDEZ de KIRCHNER, Cristina,Justicialista,Santa Cruz,AFIRMATIVO
FERNANDEZ, Nicolás Alejandro,Justicialista,Santa Cruz,AFIRMATIVO
FERRARI de GRAND, Teresa Hortensia,Justicialista,Entre Ríos,AFIRMATIVO
FERREYRA, Mario Felix,Justicialista,Tierra del Fuego,AFIRMATIVO
FIGUEROA, José Oscar,Justicialista,Santiago del Estero,AFIRMATIVO
FOCO, Isabel Emilia,FREPASO,Neuquén,AFIRMATIVO
FOLLONI, Jorge Oscar,Renovador de Salta,Salta,AFIRMATIVO
FONTDEVILA, Pablo Antonio,Justicialista,Buenos Aires,AFIRMATIVO
FRIGERI, Rodolfo Anibal,Justicialista,Buenos Aires,AFIRMATIVO
FUNES, Teodoro Roberto,Justicialista,Córdoba,AFIRMATIVO
GARCIA, Francisco Alberto,Justicialista,Mendoza,AFIRMATIVO
