ABALOS, Roberto,Union Cívica Radical,Santiago del Estero,AFIRMATIVO
ACCAVALLO, Julio Cesar,FREPASO,Rio Negro,AFIRMATIVO
ACEVEDO, Sergio Edgardo,Justicialista,Santa Cruz,AFIRMATIVO
ALVAREZ, Roque Tobias,Justicialista,Tucumán,AFIRMATIVO
BASTEIRO, Sergio Ariel,Partido Socialista,Buenos Aires,AFIRMATIVO
BAYLAC, Juan Pablo,Union Cívica Radical,Buenos Aires,AFIRMATIVO
BERTONE, Rosana Andrea,Justicialista,Tierra del Fuego,AFIRMATIVO
BONACINA, Mario Hector,Movimiento Cívico y Social,Santiago del Estero,AFIRMATIVO
BRAVO, Alfredo Pedro,Partido Socialista,Cdad. Aut. Bs. As.,AFIRMATIVO
BREARD, Noel Eugenio,Union Cívica Radical,Corrientes,AFIRMATIVO
CALVO, Pedro Jorge Camilo,Union Cívica Radical,Cdad. Aut. Bs. As.,AFIRMATIVO
CANTINI, Guillermo Marcelo,Union por Argentina,Cdad. Aut. Bs. As.,AFIRMATIVO
CAPELLO, Mario Osvaldo,Union Cívica Radical,San Juan,AFIRMATIVO
CAPPELLERI, Pascual,Union Cívica Radical,Buenos Aires,AFIRMATIVO
CAVALLERO, Hector José,Justicialista,Santa Fe,AFIRMATIVO
COUREL, Carlos Alberto,Union Cívica Radical,Tucumán,AFIRMATIVO
DAMIANI, Hernán Norberto Luis,Union Cívica Radical,Misiones,AFIRMATIVO
DE NUCCIO, Fabián,Frente Grande,Buenos Aires,AFIRMATIVO
DI BENEDETTO, Gustavo Daniel,Union Cívica Radical,Chubut,AFIRMATIVO
DI LEO, Marta Isabel,Union Cívica Radical,Buenos Aires,AFIRMATIVO
ESAIN, Daniel Martín,F.I.S.CA.L,Mendoza,AFIRMATIVO
FALU, José Ricardo,Justicialista,Tucumán,AFIRMATIVO
FAYAD, Victor Manuel Federico,Union Cívica Radical,Mendoza,AFIRMATIVO
FERRARI de GRAND, Teresa Hortensia,Justicialista,Entre Ríos,AFIRMATIVO
FERRIN, Maria Teresa,Union Cívica Radical,Jujuy,AFIRMATIVO
FOGLIA, Teresa Beatriz,Union Cívica Radical,Córdoba,AFIRMATIVO
FORESI, Irma Amelia,Justicialista,Santa Fe,AFIRMATIVO
GASTAÑAGA, Graciela Ines,Union Cívica Radical,Buenos Aires,AFIRMATIVO
GIUBERGIA, Miguel Angel,Union Cívica Radical,Jujuy,AFIRMATIVO
GIUSTINIANI, Rubén Hector,Partido Socialista,Santa Fe,AFIRMATIVO
GOMEZ, Ricardo Carmelo,Justicialista,Buenos Aires,AFIRMATIVO
GONZALEZ, Oscar Felix,Justicialista,Córdoba,AFIRMATIVO
GROSSO, Edgardo Roger Miguel,Union Cívica Radical,Córdoba,AFIRMATIVO
GUTIERREZ, Alicia Veronica,A.R.I,Santa Fe,AFIRMATIVO
GUTIERREZ, Francisco Virgilio,Polo Social,Buenos Aires,AFIRMATIVO
GUTIERREZ, Julio César,Justicialista,Santa Fe,AFIRMATIVO
HERNANDEZ, Simón Fermín,Frente Cívico Social,Catamarca,AFIRMATIVO
HERRERA, Griselda Noemí,Justicialista,La Rioja,AFIRMATIVO
HERZOVICH, María Elena,Union Cívica Radical,Entre Ríos,AFIRMATIVO
INSFRAN, Miguel Angel,Union Cívica Radical,Formosa,AFIRMATIVO
IPARRAGUIRRE, Carlos Raúl,Union Cívica Radical,Santa Fe,AFIRMATIVO
JAROSLAVSKY, Gracia Maria,Union Cívica Radical,Entre Ríos,AFIRMATIVO
JARQUE, Margarita Ofelia,Frente Grande,Buenos Aires,AFIRMATIVO
KUNEY, Mónica Adriana,Justicialista,Santa Cruz,AFIRMATIVO
LEONELLI, María Silvina,Union Cívica Radical,Córdoba,AFIRMATIVO
MACALUSE, Eduardo Gabriel,A.R.I,Buenos Aires,AFIRMATIVO
MALDONADO, Aída Francisca,Frente Cívico Social,Catamarca,AFIRMATIVO
MARTINEZ, Alfredo,Union Cívica Radical,Santa Cruz,AFIRMATIVO
MASTROGIACOMO, Miguel Angel,Union Cívica Radical,Buenos Aires,AFIRMATIVO
MELILLO, Fernando Cesar,Frente Grande,Cdad. Aut. Bs. As.,AFIRMATIVO
MENDEZ de FERREYRA, Araceli Estela,FREPASO,Corrientes,AFIRMATIVO
MENEM, Eduardo Adrian,Justicialista,La Rioja,AFIRMATIVO
MILESI, Marta Silvia,Union Cívica Radical,Rio Negro,AFIRMATIVO
MINGUEZ, Juan Jesus,Union Cívica Radical,San Juan,AFIRMATIVO
MOLINARI ROMERO, Luis,Union Cívica Radical,Córdoba,AFIRMATIVO
MONTEAGUDO, María Lucrecia,Partido Intransigente,Buenos Aires,AFIRMATIVO
MOREAU, Leopolo Raúl,Union Cívica Radical,Buenos Aires,AFIRMATIVO
MUKDISE, Miguel Roberto Daives,Union Cívica Radical,Santiago del Estero,AFIRMATIVO
MUSA, Laura Cristina,A.R.I,Cdad. Aut. Bs. As.,AFIRMATIVO
NERI, Aldo,Union Cívica Radical,Cdad. Aut. Bs. As.,AFIRMATIVO
NIETO BRIZUELA, Benjamín Ricardo,Union Cívica Radical,La Rioja,AFIRMATIVO
OBEID, Jorge Alberto,Justicialista,Santa Fe,AFIRMATIVO
OCAÑA, Maria Graciela,A.R.I,Buenos Aires,AFIRMATIVO
OLIVERO, Juan Carlos,Union Cívica Radical,La Pampa,AFIRMATIVO
OSORIO, Marta Lucia,Justicialista,La Pampa,AFIRMATIVO
OSTROPOLSKY, Aldo Hector,Union Cívica Radical,Mendoza,AFIRMATIVO
PASCUAL, Jorge Raul,Union Cívica Radical,Rio Negro,AFIRMATIVO
PATTERSON, Ricardo Ancell,Union Cívica Radical,Santa Cruz,AFIRMATIVO
PELAEZ, Victor,Union Cívica Radical,Neuquén,AFIRMATIVO
PEREZ MARTINEZ, Claudio Héctor,Union Cívica Radical,La Pampa,AFIRMATIVO
PEREZ SUAREZ, Inés,Justicialista,Cdad. Aut. Bs. As.,AFIRMATIVO
PERNASETTI, Horacio Francisco,Union Cívica Radical,Catamarca,AFIRMATIVO
PICAZO, Sarah Ana,Union Cívica Radical,Santa Fe,AFIRMATIVO
POLINO, Hector Teodoro,Partido Socialista,Cdad. Aut. Bs. As.,AFIRMATIVO
PRUYAS, Tomás Rubén,Justicialista,Corrientes,AFIRMATIVO
PUIG de STUBRIN, Lilia,Union Cívica Radical,Santa Fe,AFIRMATIVO
QUIROZ, Elsa Siria,A.R.I,Buenos Aires,AFIRMATIVO
RIVAS, Jorge,Partido Socialista,Buenos Aires,AFIRMATIVO
RODRIGUEZ, Marcela Virginia,A.R.I,Buenos Aires,AFIRMATIVO
ROMERO, Gabriel Luis,Justicialista,Neuquén,AFIRMATIVO
ROMERO, Hector Ramon,Union Cívica Radical,Chaco,AFIRMATIVO
SAADE, Blanca Azucena,Union Cívica Radical,Salta,AFIRMATIVO
SANCHEZ, Liliana Ester,Union Cívica Radical,Buenos Aires,AFIRMATIVO
SAREDI, Roberto Miguel,Justicialista,Buenos Aires,AFIRMATIVO
SEJAS, Lisandro Mauricio,U. Ce. De.,Buenos Aires,AFIRMATIVO
SELLARES, Francisco Nicolás,Justicialista,Santa Fe,AFIRMATIVO
SODA, Maria Nilda,Union Cívica Radical,Misiones,AFIRMATIVO
SOLANAS, Julio Rodolfo Francisco,Justicialista,Entre Ríos,AFIRMATIVO
SOLMOIRAGO, Raul Jorge,Union Cívica Radical,Misiones,AFIRMATIVO
STOLBIZER, Margarita Rosa,Union Cívica Radical,Buenos Aires,AFIRMATIVO
STORERO, Hugo,Union Cívica Radical,Santa Fe,AFIRMATIVO
TAZZIOLI, Atilio Pascual,Frente Grande,Córdoba,AFIRMATIVO
TREJO, Luis Alberto,Union Cívica Radical,Tierra del Fuego,AFIRMATIVO
VILLALBA, Alfredo Horacio,Frente para el Cambio,Buenos Aires,AFIRMATIVO
VIVO, Horacio,Union Cívica Radical,Cdad. Aut. Bs. As.,AFIRMATIVO
WALSH, Patricia,Izquierda Unida,Cdad. Aut. Bs. As.,AFIRMATIVO
ZAMORA, Luis Fernando,Autodeterminación y Libertad,Cdad. Aut. Bs. As.,AFIRMATIVO
AGUERO, Elda Susana,Justicialista,Buenos Aires,NEGATIVO
ALCHOURON, Guillermo Eduardo,Acción por la República,Buenos Aires,NEGATIVO
ALESANDRI, Carlos Tomas,Justicialista,Córdoba,NEGATIVO
ALESSANDRO, Dario Pedro,FREPASO,Cdad. Aut. Bs. As.,NEGATIVO
AMSTUTZ, Guillermo,Justicialista,Mendoza,NEGATIVO
ARGUL, Marta del Carmen,MO.RE.CI,Jujuy,NEGATIVO
ARNALDI, Monica Susana,Justicialista,Buenos Aires,NEGATIVO
BAIGORRIA, Miguel Angel,Justicialista,Tierra del Fuego,NEGATIVO
BALTUZZI, Angel Enzo,Justicialista,Santa Fe,NEGATIVO
BASILE, Daniel Armando,Justicialista,Buenos Aires,NEGATIVO
BASUALDO, Roberto,Justicialista,San Juan,NEGATIVO
BECERRA, Omar Enrique,Justicialista,Tierra del Fuego,NEGATIVO
BIANCHI SILVESTRE, Marcela,Justicialista,Buenos Aires,NEGATIVO
BLANCO, Jesus Abel,Justicialista,Buenos Aires,NEGATIVO
BORTOLOZZI de BOGADO, Adriana Raquel,Justicialista,Formosa,NEGATIVO
BRIOZZO, Alberto Nicolas,Justicialista,Buenos Aires,NEGATIVO
BRITOS, Oraldo Norvel,Justicialista,San Luis,NEGATIVO
BROWN, Carlos Ramón,Justicialista,Buenos Aires,NEGATIVO
BUCCO, Jorge Luis,Justicialista,Córdoba,NEGATIVO
BUSSI, Ricardo Argentino,Fuerza Republicana,Tucumán,NEGATIVO
CANEVAROLO, Dante Omar,Justicialista,Santa Cruz,NEGATIVO
CASANOVAS, Jorge Osvaldo,Justicialista,Buenos Aires,NEGATIVO
CASTELLANI, Carlos Alberto,U. Ce. De.,Santa Fe,NEGATIVO
CEREZO, Octavio Nestor,Justicialista,Catamarca,NEGATIVO
CETTOUR, Hugo Ramón,Justicialista,Entre Ríos,NEGATIVO
