ACUÑA, Hugo Rodolfo,Movimiento Popular Neuquino,Neuquén,AFIRMATIVO
AGUAD, Oscar Raúl,Union Cívica Radical,Córdoba,AFIRMATIVO
ALBARRACIN, Jorge Luis,Consenso Federal,Mendoza,AFIRMATIVO
ALBRISI, César Alfredo,Frente Justicia Unión y Libertad,Córdoba,AFIRMATIVO
ALCUAZ, Horacio Alberto,Coalición Cívica - ARI - GEN - UPT,Buenos Aires,AFIRMATIVO
ALVAREZ, Juan José,Unión Celeste y Blanco,Buenos Aires,AFIRMATIVO
ARBO, José Ameghino,Partido Liberal de Corrientes,Corrientes,AFIRMATIVO
ARDID, Mario Rolando,Partido Nuevo Contra la Corrupción,Córdoba,AFIRMATIVO
ARETA, María Josefa,Frente de Todos,Corrientes,AFIRMATIVO
AUGSBURGER, Silvia,Partido Socialista,Santa Fe,AFIRMATIVO
AZCOITI, Pedro José,Union Cívica Radical,Buenos Aires,AFIRMATIVO
BALDATA, Griselda Angela,Coalición Cívica - ARI - GEN - UPT,Córdoba,AFIRMATIVO
BARRIONUEVO, José Luis,Frente para la Victoria - PJ,Catamarca,AFIRMATIVO
BARRIOS, Miguel Angel,Partido Socialista,Santa Fe,AFIRMATIVO
BASTEIRO, Sergio Ariel,Encuentro Popular y Social,Buenos Aires,AFIRMATIVO
BAYONZO, Liliana Amelia,Union Cívica Radical,Chaco,AFIRMATIVO
BELOUS, Nélida,Solidaridad e Igualdad (SI) - ARI (T.D.F,Tierra del Fuego,AFIRMATIVO
BENAS, Verónica Claudia,Solidaridad e Igualdad (SI) - ARI (T.D.F,Santa Fe,AFIRMATIVO
BERTOL, Paula María,Propuesta Republicana,Cdad. Aut. Bs. As.,AFIRMATIVO
BEVERAGGI, Margarita Beatriz,Union Cívica Radical,Chaco,AFIRMATIVO
BIANCHI, Ivana María,Frente Justicia Unión y Libertad,San Luis,AFIRMATIVO
BISUTTI, Delia Beatriz,Solidaridad e Igualdad (SI) - ARI (T.D.F,Cdad. Aut. Bs. As.,AFIRMATIVO
BONASSO, Miguel Luis,Diálogo por Buenos Aires,Cdad. Aut. Bs. As.,AFIRMATIVO
