ACOSTA, María Julia,Frente para la Victoria - PJ,Catamarca,AFIRMATIVO
ACUÑA, Hugo Rodolfo,Movimiento Popular Neuquino,Neuquén,AFIRMATIVO
AGUIRRE de SORIA, Hilda Clelia,Frente para la Victoria - PJ,La Rioja,AFIRMATIVO
ALFARO, German Enrique,Frente para la Victoria - PJ,Tucumán,AFIRMATIVO
ALVARO, Héctor Jorge,De la Concertación,Mendoza,AFIRMATIVO
ARETA, María Josefa,Frente de Todos,Corrientes,AFIRMATIVO
ARGÜELLO, Octavio,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
BALADRON, Manuel Justo,Frente para la Victoria - PJ,La Pampa,AFIRMATIVO
BEDANO, Nora Esther,Frente para la Victoria - PJ,Córdoba,AFIRMATIVO
BERNAZZA, Claudia Alicia,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
BERRAUTE, Ana,Frente para la Victoria - PJ,Santa Fe,AFIRMATIVO
BERTONE, Rosana Andrea,Frente para la Victoria - PJ,Tierra del Fuego,AFIRMATIVO
BIANCHI SILVESTRE, Marcela Alejandra,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
BIANCO, Lía Fabiola,Frente para la Victoria - PJ,Misiones,AFIRMATIVO
BIDEGAIN, Gloria,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
BRILLO, José Ricardo,Movimiento Popular Neuquino,Neuquén,AFIRMATIVO
BRUE, Daniel Agustín,Frente Cívico por Santiago,Santiago del Estero,AFIRMATIVO
CALCHAQUI, Mariel,Frente para la Victoria - PJ,Tierra del Fuego,AFIRMATIVO
CALZA, Nelio Higinio,Frente para la Victoria - PJ,Entre Ríos,AFIRMATIVO
CAMAÑO, Graciela,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
CANELA, Susana Mercedes,Frente para la Victoria - PJ,Salta,AFIRMATIVO
CANTERO GUTIERREZ, Alberto,Frente para la Victoria - PJ,Córdoba,AFIRMATIVO
CARLOTTO, Remo Gerardo,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
CARMONA, María Araceli,Frente para la Victoria - PJ,Corrientes,AFIRMATIVO
CASELLES, Graciela María,Frente para la Victoria - Partido Bloqui,San Juan,AFIRMATIVO
CEJAS, Jorge Alberto,Frente para la Victoria - PJ,Rio Negro,AFIRMATIVO
CESAR, Nora Noemí,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
CHIQUICHANO, Rosa Laudelina,Frente para la Victoria - PJ,Chubut,AFIRMATIVO
CIGOGNA, Luis Francisco Jorge,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
COMELLI, Alicia Marcela,Movimiento Popular Neuquino,Neuquén,AFIRMATIVO
CONTI, Diana Beatriz,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
CORDOBA, José Manuel,Frente para la Victoria - PJ,Santa Cruz,AFIRMATIVO
CORDOBA, Stella Maris,Frente para la Victoria - PJ,Tucumán,AFIRMATIVO
CUEVAS, Hugo Oscar,De la Concertación,Rio Negro,AFIRMATIVO
DAMILANO GRIVARELLO, Viviana Mónica,Frente para la Victoria - PJ,Chaco,AFIRMATIVO
DATO, Alfredo Carlos,Frente para la Victoria - PJ,Tucumán,AFIRMATIVO
de la ROSA, Maria Graciela,Frente para la Victoria - PJ,Formosa,AFIRMATIVO
DELICH, Francisco José,Partido Nuevo Contra la Corrupción,Córdoba,AFIRMATIVO
DEPETRI, Edgardo Fernando,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
di TULLIO, Juliana,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
DIAZ BANCALARI, José María,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
DIAZ ROIG, Juan Carlos,Frente para la Victoria - PJ,Formosa,AFIRMATIVO
DIAZ, Susana Eladia,Frente para la Victoria - PJ,Tucumán,AFIRMATIVO
DIEZ, María Inés,Renovador de Salta,Salta,AFIRMATIVO
DOVENA, Miguel Dante,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
FADEL, Patricia Susana,Frente para la Victoria - PJ,Mendoza,AFIRMATIVO
FERNANDEZ BASUALDO, Luis María,Frente para la Victoria - PJ,Formosa,AFIRMATIVO
FERNANDEZ, Marcelo Omar,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
FERRA de BARTOL, Margarita,Frente para la Victoria - PJ,San Juan,AFIRMATIVO
FIOL, Paulina Esther,Frente para la Victoria - PJ,Santa Fe,AFIRMATIVO
GALANTINI, Eduardo Leonel,Frente para la Victoria - PJ,Corrientes,AFIRMATIVO
GARCIA, María Teresa,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
GARDELLA, Patricia Susana,Corriente Peronista Federal,Buenos Aires,AFIRMATIVO
GENEM, Amanda Susana,Frente para la Victoria - PJ,Mendoza,AFIRMATIVO
GIANNETTASIO, Graciela María,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
GIOJA, Juan Carlos,Frente para la Victoria - PJ,San Juan,AFIRMATIVO
GODOY, Ruperto Eduardo,Frente para la Victoria - PJ,San Juan,AFIRMATIVO
GONZALEZ, Juan Dante,Frente para la Victoria - PJ,Mendoza,AFIRMATIVO
GONZALEZ, Nancy Susana,Frente para la Victoria - PJ,Chubut,AFIRMATIVO
GORBACZ, Leonardo Ariel,Proyecto Progresista,Tierra del Fuego,AFIRMATIVO
GULLO, Juan Carlos Dante,Frente para la Victoria - PJ,Cdad. Aut. Bs. As.,AFIRMATIVO
GUTIERREZ, Graciela Beatriz,Frente para la Victoria - PJ,Santa Cruz,AFIRMATIVO
HALAK, Beatriz Susana,Unión Peronista,Córdoba,AFIRMATIVO
HEREDIA, Arturo Miguel,Peronismo Federal,Córdoba,AFIRMATIVO
HERRERA, Alberto,Frente para la Victoria - PJ,Tucumán,AFIRMATIVO
HERRERA, Griselda Noemí,Frente para la Victoria - PJ,La Rioja,AFIRMATIVO
HERRERA, José Alberto,Frente Cívico por Santiago,Santiago del Estero,AFIRMATIVO
ILARREGUI, Luis Alfredo,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
IRRAZABAL, Juan Manuel,Frente para la Victoria - PJ,Misiones,AFIRMATIVO
ITURRIETA, Miguel Angel,Frente para la Victoria - PJ,Misiones,AFIRMATIVO
KAKUBUR, Emilio,Dignidad Peronista,Misiones,AFIRMATIVO
KORENFELD, Beatriz Liliana,Frente para la Victoria - PJ,Santa Cruz,AFIRMATIVO
KUNKEL, Carlos Miguel,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
LANDAU, Jorge Alberto,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
LEDESMA, Julio Rubén,Corriente Peronista Federal,Buenos Aires,AFIRMATIVO
LEGUIZAMON, María Laura,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
LENZ, María Beatriz,Frente para la Victoria - PJ,Cdad. Aut. Bs. As.,AFIRMATIVO
LEVERBERG, Stella Maris,Frente para la Victoria - PJ,Misiones,AFIRMATIVO
LLANOS, Edith,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
LLERA, Timoteo,Frente para la Victoria - PJ,Misiones,AFIRMATIVO
LOPEZ, Ernesto Segundo,Frente para la Victoria - PJ,San Juan,AFIRMATIVO
LOPEZ, Rafael Angel,Frente para la Victoria - PJ,Formosa,AFIRMATIVO
LORENZO BOROCOTO, Eduardo,Movimiento Independiente,Cdad. Aut. Bs. As.,AFIRMATIVO
LORGES, Juan Carlos,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
LUNA de MARCOS, Ana Zulema,Frente Cívico por Santiago,Santiago del Estero,AFIRMATIVO
MARCONATO, Gustavo Angel,Frente para la Victoria - PJ,Santa Fe,AFIRMATIVO
MARTIARENA, Mario Humberto,Peronismo Jujeño,Jujuy,AFIRMATIVO
MOISES, María Carolina,Frente para la Victoria - PJ,Jujuy,AFIRMATIVO
MONTOYA, Jorge Luciano,Unión Peronista,Córdoba,AFIRMATIVO
MORANTE, Antonio Arnaldo María,Frente para la Victoria - PJ,Chaco,AFIRMATIVO
MORENO, Carlos Julio,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
MORGADO, Claudio Marcelo,Partido de la Concertación - FORJA,Cdad. Aut. Bs. As.,AFIRMATIVO
MULLER, Mabel Hilda,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
OLIVA, Cristian Rodolfo,Frente Cívico por Santiago,Santiago del Estero,AFIRMATIVO
OSORIO, Marta Lucía,Frente para la Victoria - PJ,La Pampa,AFIRMATIVO
PAIS, Juan Mario,Frente para la Victoria - PJ,Chubut,AFIRMATIVO
PAREDES URQUIZA, Alberto Nicolás,Frente para la Victoria - PJ,La Rioja,AFIRMATIVO
PASINI, Ariel Osvaldo,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
PASTORIZA, Eduardo Antonio,Bloque por la Verdad,Catamarca,AFIRMATIVO
PASTORIZA, Mirta Ameliana,Frente Cívico por Santiago,Santiago del Estero,AFIRMATIVO
PEREYRA, Guillermo Antonio,Frente para la Victoria - PJ,Mendoza,AFIRMATIVO
PEREZ, Jorge Raúl,Frente Cívico por Santiago,Santiago del Estero,AFIRMATIVO
PERIE, Hugo Rubén,Frente para la Victoria - PJ,Corrientes,AFIRMATIVO
PERIE, Julia Argentina,Frente para la Victoria - PJ,Misiones,AFIRMATIVO
PIUMATO, Julio Juán,Frente para la Victoria - PJ,Cdad. Aut. Bs. As.,AFIRMATIVO
PORTO, Héctor Norberto,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
PRIETO, Hugo Nelson,De la Concertación,Neuquén,AFIRMATIVO
PUIGGROS, Adriana Victoria,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
RECALDE, Héctor Pedro,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
REJAL, Jesús Fernando,Frente para la Victoria - PJ,La Rioja,AFIRMATIVO
RICO, María del Carmen Cecilia,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
RODRIGUEZ, Evaristo Arturo,Frente para la Victoria - PJ,Santa Cruz,AFIRMATIVO
ROJKES de ALPEROVICH, Beatriz Liliana,Frente para la Victoria - PJ,Tucumán,AFIRMATIVO
ROMAN, Carmen,Frente para la Victoria - PJ,Formosa,AFIRMATIVO
ROSSI, Agustín Oscar,Frente para la Victoria - PJ,Santa Fe,AFIRMATIVO
ROSSI, Alejandro Luis,Frente para la Victoria - PJ,Santa Fe,AFIRMATIVO
RUIZ, Ramón,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
SALIM, Juan Arturo,Frente para la Victoria - PJ,Tucumán,AFIRMATIVO
SALUM, Osvaldo Rubén,Frente para la Victoria - PJ,Salta,AFIRMATIVO
SANTANDER, Mario Armando,Frente para la Victoria - PJ,La Rioja,AFIRMATIVO
SAPAG, Silvia Estela,Frente para la Victoria - PJ,Neuquén,AFIRMATIVO
SCALESI, Juan Carlos,Consenso Federal,Rio Negro,AFIRMATIVO
SCIUTTO, Rubén Darío,Frente para la Victoria - PJ,Tierra del Fuego,AFIRMATIVO
SEGARRA, Adela Rosa,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
SLUGA, Juan Carlos,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
SNOPEK, Carlos Daniel,Frente para la Victoria - PJ,Jujuy,AFIRMATIVO
SOLANAS, Raúl Patricio,Frente para la Victoria - PJ,Entre Ríos,AFIRMATIVO
SPATOLA, Paola Rosana,Guardia Peronista,Buenos Aires,AFIRMATIVO
SYLVESTRE BEGNIS, Juan Héctor,Frente para la Victoria - PJ,Santa Fe,AFIRMATIVO
TOMAZ, Adriana Elisa,Partido Unidad Federalista,Buenos Aires,AFIRMATIVO
TORFE, Mónica Liliana,Renovador de Salta,Salta,AFIRMATIVO
VACA NARVAJA, Patricia,Frente para la Victoria - PJ,Córdoba,AFIRMATIVO
VARGAS AIGNASSE, Gerónimo,Frente para la Victoria - PJ,Tucumán,AFIRMATIVO
VILARIÑO, José Antonio,Frente para la Victoria - PJ,Salta,AFIRMATIVO
WEST, Mariano Federíco,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
ACUÑA KUNZ, Juan Erwin,Union Cívica Radical,Santa Cruz,NEGATIVO
AGOSTO, Walter Alfredo,Santa Fe Federal,Santa Fe,NEGATIVO
AGUAD, Oscar Raúl,Union Cívica Radical,Córdoba,NEGATIVO
ALBARRACIN, Jorge Luis,Consenso Federal,Mendoza,NEGATIVO
ALBRISI, César Alfredo,Frente Justicia Unión y Libertad,Córdoba,NEGATIVO
ALCUAZ, Horacio Alberto,Bloque GEN,Buenos Aires,NEGATIVO
ALVAREZ, Juan José,Unión Celeste y Blanco,Buenos Aires,NEGATIVO
ARBO, José Ameghino,Partido Liberal de Corrientes,Corrientes,NEGATIVO
ARDID, Mario Rolando,Partido Nuevo Contra la Corrupción,Córdoba,NEGATIVO
ARRIAGA, Julio Esteban,Unión Peronista,Rio Negro,NEGATIVO
AUGSBURGER, Silvia,Partido Socialista,Santa Fe,NEGATIVO
AZCOITI, Pedro José,Union Cívica Radical,Buenos Aires,NEGATIVO
BALDATA, Griselda Angela,Coalición Cívica - ARI - GEN - UPT,Córdoba,NEGATIVO
BARAGIOLA, Vilma Rosana,Union Cívica Radical,Buenos Aires,NEGATIVO
BARRIOS, Miguel Angel,Partido Socialista,Santa Fe,NEGATIVO
BARTOLUCCI, Gilda Liliana,Frente Justicia Unión y Libertad,San Luis,NEGATIVO
BASTEIRO, Sergio Ariel,Encuentro Popular y Social,Buenos Aires,NEGATIVO
BAYONZO, Liliana Amelia,Union Cívica Radical,Chaco,NEGATIVO
BENAS, Verónica Claudia,Solidaridad e Igualdad (SI),Santa Fe,NEGATIVO
BERTOL, Paula María,Propuesta Republicana,Cdad. Aut. Bs. As.,NEGATIVO
BEVERAGGI, Margarita Beatriz,Union Cívica Radical,Chaco,NEGATIVO
BIANCHI, Ivana María,Frente Justicia Unión y Libertad,San Luis,NEGATIVO
BISUTTI, Delia Beatriz,Solidaridad e Igualdad (SI),Cdad. Aut. Bs. As.,NEGATIVO
BONASSO, Miguel Luis,Diálogo por Buenos Aires,Cdad. Aut. Bs. As.,NEGATIVO
BULLRICH, Esteban José,Propuesta Republicana,Cdad. Aut. Bs. As.,NEGATIVO
