ABDALA de MATARAZZO, Norma Amanda,Frente Cívico por Santiago,Santiago del Estero,AFIRMATIVO
ACOSTA, María Julia,Frente para la Victoria - PJ,Catamarca,AFIRMATIVO
AGOSTO, Walter Alfredo,Peronismo Federal,Santa Fe,AFIRMATIVO
AGUIRRE de SORIA, Hilda Clelia,Frente para la Victoria - PJ,La Rioja,AFIRMATIVO
ALBRIEU, Oscar,Frente para la Victoria - PJ,Rio Negro,AFIRMATIVO
ALCUAZ, Horacio Alberto,GEN,Buenos Aires,AFIRMATIVO
ALFONSIN, Ricardo Luis,Union Cívica Radical,Buenos Aires,AFIRMATIVO
ALONSO, Laura,PRO,Cdad. Aut. Bs. As.,AFIRMATIVO
ALVAREZ, Elsa María,Union Cívica Radical,Santa Cruz,AFIRMATIVO
ALVAREZ, Jorge Mario,Union Cívica Radical,Santa Fe,AFIRMATIVO
ALVARO, Héctor Jorge,De la Concertación,Mendoza,AFIRMATIVO
AMADEO, Eduardo Pablo,Peronismo Federal,Buenos Aires,AFIRMATIVO
ARBO, José Ameghino,Liberal de Corrientes,Corrientes,AFIRMATIVO
ARENA, Celia Isabel,Peronismo Federal,Santa Fe,AFIRMATIVO
ARETA, María Josefa,Frente de Todos,Corrientes,AFIRMATIVO
ARGÜELLO, Octavio,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
ARGUMEDO, Alcira Susana,Movimiento Proyecto Sur,Cdad. Aut. Bs. As.,AFIRMATIVO
ASEF, Daniel Edgardo,Nucleo Unidad Peronista,Córdoba,AFIRMATIVO
ASPIAZU, Lucio Bernardo,Union Cívica Radical,Corrientes,AFIRMATIVO
ATANASOF, Alfredo Néstor,Peronismo Federal,Buenos Aires,AFIRMATIVO
BALDATA, Griselda Angela,Coalición Cívica,Córdoba,AFIRMATIVO
BARRANDEGUY, Raúl Enrique,Frente para la Victoria - PJ,Entre Ríos,AFIRMATIVO
BARRIOS, Miguel Angel,Partido Socialista,Santa Fe,AFIRMATIVO
BASTEIRO, Sergio Ariel,Nuevo Encuentro Popular y Solidario,Buenos Aires,AFIRMATIVO
BEDANO, Nora Esther,Frente para la Victoria - PJ,Córdoba,AFIRMATIVO
BELOUS, Nélida,Bloque Social Patagónico,Tierra del Fuego,AFIRMATIVO
BENAS, Verónica Claudia,Unidad Popular,Santa Fe,AFIRMATIVO
BENEDETTI, Atilio,Union Cívica Radical,Entre Ríos,AFIRMATIVO
BERNAL, María Eugenia,Frente para la Victoria - PJ,Jujuy,AFIRMATIVO
BERTOL, Paula María,PRO,Cdad. Aut. Bs. As.,AFIRMATIVO
BERTONE, Rosana Andrea,Frente para la Victoria - PJ,Tierra del Fuego,AFIRMATIVO
BIANCHI, Ivana María,Peronismo Federal,San Luis,AFIRMATIVO
BLANCO de PERALTA, Blanca,Frente para la Victoria - PJ,Santa Cruz,AFIRMATIVO
BRILLO, José Ricardo,Movimiento Popular Neuquino,Neuquén,AFIRMATIVO
BRUE, Daniel Agustín,Frente Cívico por Santiago,Santiago del Estero,AFIRMATIVO
BULLRICH, Patricia,Coalición Cívica,Cdad. Aut. Bs. As.,AFIRMATIVO
CAMAÑO, Graciela,Peronista,Buenos Aires,AFIRMATIVO
CARCA, Elisa Beatriz,Coalición Cívica,Buenos Aires,AFIRMATIVO
CARLOTTO, Remo Gerardo,Frente para la Victoria - PJ,Buenos Aires,AFIRMATIVO
CASAÑAS, Juan Francisco,Union Cívica Radical,Tucumán,AFIRMATIVO
CASTALDO, Norah Susana,Union Cívica Radical,Tucumán,AFIRMATIVO
CASTAÑON, Hugo,Union Cívica Radical,Rio Negro,AFIRMATIVO
CEJAS, Jorge Alberto,Frente para la Victoria - PJ,Rio Negro,AFIRMATIVO
