ABALOS, Roberto,Union Cívica Radical,Santiago del Estero,AFIRMATIVO
ACCAVALLO, Julio Cesar,FREPASO,Rio Negro,AFIRMATIVO
ACEVEDO, Sergio Edgardo,Justicialista,Santa Cruz,AFIRMATIVO
ALESSANDRO, Dario Pedro,FREPASO,Cdad. Aut. Bs. As.,AFIRMATIVO
ALLENDE, Alfredo Estanislao,Union Cívica Radical,Buenos Aires,AFIRMATIVO
AMSTUTZ, Guillermo,Justicialista,Mendoza,AFIRMATIVO
ARGUL, Marta del Carmen,MO.RE.CI,Jujuy,AFIRMATIVO
BALIAN, Alejandro,Union Cívica Radical,Córdoba,AFIRMATIVO
BALTUZZI, Angel Enzo,Justicialista,Santa Fe,AFIRMATIVO
BASTEIRO, Sergio Ariel,A.R.I,Buenos Aires,AFIRMATIVO
BASUALDO, Roberto,Justicialista,San Juan,AFIRMATIVO
BAYLAC, Juan Pablo,Union Cívica Radical,Buenos Aires,AFIRMATIVO
BAYONZO, Liliana Amelia,Union Cívica Radical,Chaco,AFIRMATIVO
BIGLIERI, María Emilia,Demócrata Progresista,Santa Fe,AFIRMATIVO
BONACINA, Mario Hector,Movimiento Cívico y Social,Santiago del Estero,AFIRMATIVO
BORDENAVE, Marcela Antonia,A.R.I,Buenos Aires,AFIRMATIVO
BRAVO, Alfredo Pedro,A.R.I,Cdad. Aut. Bs. As.,AFIRMATIVO
BREARD, Noel Eugenio,Union Cívica Radical,Corrientes,AFIRMATIVO
BRIOZZO, Alberto Nicolas,Justicialista,Buenos Aires,AFIRMATIVO
BRITOS, Oraldo Norvel,Justicialista,San Luis,AFIRMATIVO
CAFIERO, Mario Alejandro,A.R.I,Buenos Aires,AFIRMATIVO
CALVO, Pedro Jorge Camilo,Union Cívica Radical,Cdad. Aut. Bs. As.,AFIRMATIVO
CAMBARERI, Fortunato Rafael,Union Cívica Radical,Chubut,AFIRMATIVO
CANEVAROLO, Dante Omar,Justicialista,Santa Cruz,AFIRMATIVO
CAPELLO, Mario Osvaldo,Union Cívica Radical,San Juan,AFIRMATIVO
CAPPELLERI, Pascual,Union Cívica Radical,Buenos Aires,AFIRMATIVO
CARBONETTO, Daniel,Polo Social,Buenos Aires,AFIRMATIVO
CARRIO, Elisa María Avelina,A.R.I,Chaco,AFIRMATIVO
CASTRO, Alicia Amalia,Frente para el Cambio,Buenos Aires,AFIRMATIVO
CIGOGNA, Luis Francisco Jorge,Justicialista,Buenos Aires,AFIRMATIVO
CONTE GRAND, Gerardo Amadeo,Justicialista,Cdad. Aut. Bs. As.,AFIRMATIVO
CORFIELD, Guillermo Eduardo,Union Cívica Radical,Entre Ríos,AFIRMATIVO
COUREL, Carlos Alberto,Union Cívica Radical,Tucumán,AFIRMATIVO
CUSINATO, José Cesar,Union Cívica Radical,Entre Ríos,AFIRMATIVO
DAMIANI, Hernán Norberto Luis,Union Cívica Radical,Misiones,AFIRMATIVO
DE NUCCIO, Fabián,Frente Grande,Buenos Aires,AFIRMATIVO
DI BENEDETTO, Gustavo Daniel,Union Cívica Radical,Chubut,AFIRMATIVO
DI COLA, Eduardo Román,Justicialista,Córdoba,AFIRMATIVO
DI LEO, Marta Isabel,Union Cívica Radical,Buenos Aires,AFIRMATIVO
ELIZONDO, Dante,Justicialista,San Juan,AFIRMATIVO
ESAIN, Daniel Martín,F.I.S.CA.L,Mendoza,AFIRMATIVO
FALU, José Ricardo,Justicialista,Tucumán,AFIRMATIVO
FAYAD, Victor Manuel Federico,Union Cívica Radical,Mendoza,AFIRMATIVO
FERRERO, Fernanda,Federal,Cdad. Aut. Bs. As.,AFIRMATIVO
FERRIN, Maria Teresa,Union Cívica Radical,Jujuy,AFIRMATIVO
FILOMENO, Alejandro Oscar,FREPASO,Buenos Aires,AFIRMATIVO
FOGLIA, Teresa Beatriz,Union Cívica Radical,Córdoba,AFIRMATIVO
FORESI, Irma Amelia,Justicialista,Santa Fe,AFIRMATIVO
GARCIA, Eduardo Daniel,Partido Socialista Popular,Córdoba,AFIRMATIVO
GARRE, Nilda Celia,FREPASO,Cdad. Aut. Bs. As.,AFIRMATIVO
GASTAÑAGA, Graciela Ines,Union Cívica Radical,Buenos Aires,AFIRMATIVO
GEIJO, Angel Oscar,Union Cívica Radical,Chaco,AFIRMATIVO
GIUBERGIA, Miguel Angel,Union Cívica Radical,Jujuy,AFIRMATIVO
GIUSTINIANI, Rubén Hector,Partido Socialista Popular,Santa Fe,AFIRMATIVO
GOMEZ, Ricardo Carmelo,Justicialista,Buenos Aires,AFIRMATIVO
GONZALEZ, María América,Frente Grande,Cdad. Aut. Bs. As.,AFIRMATIVO
GONZALEZ, Oscar Roberto,A.R.I,Buenos Aires,AFIRMATIVO
GROSSO, Edgardo Roger Miguel,Union Cívica Radical,Córdoba,AFIRMATIVO
GUTIERREZ, Alicia Veronica,A.R.I,Santa Fe,AFIRMATIVO
GUTIERREZ, Francisco Virgilio,Polo Social,Buenos Aires,AFIRMATIVO
GUTIERREZ, Gustavo Eduardo,Demócrata de Mendoza,Mendoza,AFIRMATIVO
GUTIERREZ, Julio César,Justicialista,Santa Fe,AFIRMATIVO
HERNANDEZ, Simón Fermín,Frente Cívico Social,Catamarca,AFIRMATIVO
HERZOVICH, María Elena,Union Cívica Radical,Entre Ríos,AFIRMATIVO
INSFRAN, Miguel Angel,Union Cívica Radical,Formosa,AFIRMATIVO
IPARRAGUIRRE, Carlos Raúl,Union Cívica Radical,Santa Fe,AFIRMATIVO
JALIL, Luis Julián,Movimiento Popular Neuquino,Neuquén,AFIRMATIVO
JAROSLAVSKY, Gracia Maria,Union Cívica Radical,Entre Ríos,AFIRMATIVO
JARQUE, Margarita Ofelia,Frente Grande,Buenos Aires,AFIRMATIVO
JOHNSON, Guillermo,Justicialista,Córdoba,AFIRMATIVO
KUNEY, Mónica Adriana,Justicialista,Santa Cruz,AFIRMATIVO
LAFALLA, Arturo Pedro,Justicialista,Mendoza,AFIRMATIVO
LEONELLI, María Silvina,Union Cívica Radical,Córdoba,AFIRMATIVO
LERNOUD, María Teresa,Union Cívica Radical,Chubut,AFIRMATIVO
LLANO, Gabriel Joaquín,Demócrata de Mendoza,Mendoza,AFIRMATIVO
LORENZO, Antonio Arnaldo,Union Cívica Radical,San Luis,AFIRMATIVO
LOUTAIF, Julio César,Renovador de Salta,Salta,AFIRMATIVO
LYNCH, Juan Carlos,Demócrata de Capital Federal,Cdad. Aut. Bs. As.,AFIRMATIVO
MACALUSE, Eduardo Gabriel,A.R.I,Buenos Aires,AFIRMATIVO
MALDONADO, Aída Francisca,Frente Cívico Social,Catamarca,AFIRMATIVO
MARTINEZ RAYMONDA, Rafael,Demócrata Progresista,Cdad. Aut. Bs. As.,AFIRMATIVO
MARTINEZ, Alfredo,Union Cívica Radical,Santa Cruz,AFIRMATIVO
MASTROGIACOMO, Miguel Angel,Union Cívica Radical,Buenos Aires,AFIRMATIVO
MELILLO, Fernando Cesar,Frente Grande,Cdad. Aut. Bs. As.,AFIRMATIVO
MENDEZ de FERREYRA, Araceli Estela,FREPASO,Corrientes,AFIRMATIVO
MILESI, Marta Silvia,Union Cívica Radical,Rio Negro,AFIRMATIVO
MILLET, Juan Carlos,Union Cívica Radical,Santa Fe,AFIRMATIVO
MINGUEZ, Juan Jesus,Union Cívica Radical,San Juan,AFIRMATIVO
MIRABILE, José Arnaldo,Justicialista,San Luis,AFIRMATIVO
MOLINARI ROMERO, Luis,Union Cívica Radical,Córdoba,AFIRMATIVO
MONTEAGUDO, María Lucrecia,Partido Intransigente,Buenos Aires,AFIRMATIVO
MONTOYA, Fernando Ramón,Union Cívica Radical,Córdoba,AFIRMATIVO
MOREAU, Leopolo Raúl,Union Cívica Radical,Buenos Aires,AFIRMATIVO
MUKDISE, Miguel Roberto Daives,Union Cívica Radical,Santiago del Estero,AFIRMATIVO
MUSA, Laura Cristina,A.R.I,Cdad. Aut. Bs. As.,AFIRMATIVO
NATALE, Alberto Adolfo,Demócrata Progresista,Santa Fe,AFIRMATIVO
NERI, Aldo,Union Cívica Radical,Cdad. Aut. Bs. As.,AFIRMATIVO
NIETO BRIZUELA, Benjamín Ricardo,Union Cívica Radical,La Rioja,AFIRMATIVO
NIEVA, Alejandro Mario,Union Cívica Radical,Jujuy,AFIRMATIVO
OBEID, Jorge Alberto,Justicialista,Santa Fe,AFIRMATIVO
OCAÑA, Maria Graciela,A.R.I,Buenos Aires,AFIRMATIVO
OLIVERO, Juan Carlos,Union Cívica Radical,La Pampa,AFIRMATIVO
OSTROPOLSKY, Aldo Hector,Union Cívica Radical,Mendoza,AFIRMATIVO
OSUNA, Blanca Inés,Justicialista,Entre Ríos,AFIRMATIVO
PARENTELLA, Irma Fidela,Frente Grande,Cdad. Aut. Bs. As.,AFIRMATIVO
PASCUAL, Jorge Raul,Union Cívica Radical,Rio Negro,AFIRMATIVO
PATTERSON, Ricardo Ancell,Union Cívica Radical,Santa Cruz,AFIRMATIVO
PELAEZ, Victor,Union Cívica Radical,Neuquén,AFIRMATIVO
PEREZ MARTINEZ, Claudio Héctor,Union Cívica Radical,La Pampa,AFIRMATIVO
PEREZ SUAREZ, Inés,Justicialista,Cdad. Aut. Bs. As.,AFIRMATIVO
PERNASETTI, Horacio Francisco,Union Cívica Radical,Catamarca,AFIRMATIVO
PICAZO, Sarah Ana,Union Cívica Radical,Santa Fe,AFIRMATIVO
PICCININI, Alberto José,A.R.I,Santa Fe,AFIRMATIVO
POLINO, Hector Teodoro,A.R.I,Cdad. Aut. Bs. As.,AFIRMATIVO
PUIG de STUBRIN, Lilia,Union Cívica Radical,Santa Fe,AFIRMATIVO
QUIROZ, Elsa Siria,A.R.I,Buenos Aires,AFIRMATIVO
RAIMUNDI, Carlos Alberto,Frente Grande,Buenos Aires,AFIRMATIVO
RICO, María del Carmen Cecilia,Justicialista,Buenos Aires,AFIRMATIVO
RIVAS, Jorge,A.R.I,Buenos Aires,AFIRMATIVO
RODIL, Rodolfo,FREPASO,Buenos Aires,AFIRMATIVO
